Name           Type       MACs           CPercent    Memory      MPercent    Params     PPercent    InShape       OutShape
LeakyRelu_139  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_157       Conv       25,362,432     1.47%       852,480     0.99%       16,512     0.72%       1x128x32x48   1x128x32x48
Conv_165       Conv       25,362,432     1.47%       852,480     0.99%       16,512     0.72%       1x128x32x48   1x128x32x48
Conv_140       Conv       6,340,608      0.37%       262,656     0.30%       16,512     0.72%       1x128x16x24   1x128x16x24
LeakyRelu_158  LeakyRelu  393,216        0.02%       786,432     0.91%       0          0.00%       1x128x32x48   1x128x32x48
LeakyRelu_166  LeakyRelu  393,216        0.02%       786,432     0.91%       0          0.00%       1x128x32x48   1x128x32x48
LeakyRelu_141  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_159       Conv       1,966,080      0.11%       791,552     0.92%       1,280      0.06%       1x128x32x48   1x128x32x48
Conv_167       Conv       1,966,080      0.11%       791,552     0.92%       1,280      0.06%       1x128x32x48   1x128x32x48
Conv_142       Conv       56,672,256     3.29%       786,944     0.91%       147,584    6.45%       1x128x16x24   1x128x16x24
LeakyRelu_160  LeakyRelu  393,216        0.02%       786,432     0.91%       0          0.00%       1x128x32x48   1x128x32x48
LeakyRelu_168  LeakyRelu  393,216        0.02%       786,432     0.91%       0          0.00%       1x128x32x48   1x128x32x48
LeakyRelu_143  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_161       Conv       25,362,432     1.47%       852,480     0.99%       16,512     0.72%       1x128x32x48   1x128x32x48
Conv_169       Conv       25,362,432     1.47%       852,480     0.99%       16,512     0.72%       1x128x32x48   1x128x32x48
Conv_144       Conv       6,340,608      0.37%       262,656     0.30%       16,512     0.72%       1x128x16x24   1x128x16x24
LeakyRelu_162  LeakyRelu  393,216        0.02%       786,432     0.91%       0          0.00%       1x128x32x48   1x128x32x48
LeakyRelu_170  LeakyRelu  393,216        0.02%       786,432     0.91%       0          0.00%       1x128x32x48   1x128x32x48
LeakyRelu_145  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_171       Conv       198,144        0.01%       6,660       0.01%       129        0.01%       1x128x32x48   1x1x32x48
Conv_172       Conv       792,576        0.05%       26,640      0.03%       516        0.02%       1x128x32x48   1x4x32x48
Conv_173       Conv       198,144        0.01%       6,660       0.01%       129        0.01%       1x128x32x48   1x1x32x48
Conv_146       Conv       56,672,256     3.29%       786,944     0.91%       147,584    6.45%       1x128x16x24   1x128x16x24
LeakyRelu_147  LeakyRelu  98,304         0.01%       196,608     0.23%       0          0.00%       1x128x16x24   1x128x16x24
Conv_149       Conv       25,264,128     1.47%       656,384     0.76%       65,792     2.88%       1x256x16x24   1x256x16x24
